probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,12.5,7.0,7.0,25.0,2.4164126729038684,3.501944008819572,3.0
GE624D,pAM,45.0,12.5,7.0,7.0,26.0,2.484793625387841,3.523440615233619,3.0
GE624D,pAM,45.0,12.5,7.0,7.0,27.0,2.5567766169897084,3.545274186086139,3.0
GE624D,pAM,45.0,12.5,7.0,7.0,28.0,2.6151598816407033,3.563570619767806,3.0
GE624D,pAM,45.0,12.5,7.0,7.0,29.0,2.675358701763576,3.566679657188177,3.0
GE624D,pAM,45.0,12.5,7.0,7.0,30.0,2.7118182768756274,3.595223938216583,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,1.6,0.33514644775349783,0.32080788178054764,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,2.0,0.42387908210417075,0.41571693999238885,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,3.0,0.6591590797223256,0.6576105164407257,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,4.0,0.8999609485707744,0.8964884703561949,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,5.0,1.135666932735389,1.1270615092819976,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,6.0,1.363096422906554,1.3416884339385808,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,7.0,1.5680805090134002,1.5568865693110918,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,8.0,1.7599500691527101,1.7489095065849154,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,9.0,1.8999380738294622,1.9325843361695982,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,10.0,2.004453728934407,2.1045739245112958,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,11.0,2.1053436454871046,2.2701575838418173,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,12.0,2.1178954296873407,2.4302230571315397,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,13.0,2.21368091545801,2.5621846462013984,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,14.0,2.2287969502953833,2.693125272669718,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,15.0,2.212232629440268,2.8153678660394235,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,16.0,2.233817551381504,2.916906128048297,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,17.0,2.202145514578367,3.0143894628158527,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,18.0,2.2156343986574667,3.0828701160693464,3.0
